,Awards,Awards_won,Awards_nominated,Oscar_Awards_won,Golden_Globe_Awards_won,Prime_Emmys_Awards_won,BAFTA_Awards_won,Oscar_Awards_nominated,Golden_Globe_Awards_nominated,Prime_Emmys_Awards_nominated,BAFTA_Awards_nominated
185,2 nominations.,0,2,0,0,0,0,0,0,0,0
190,1 nomination.,0,1,0,0,0,0,0,0,0,0
191,1 win.,1,0,0,0,0,0,0,0,0,0
211,1 nomination.,0,1,0,0,0,0,0,0,0,0
212,2 wins.,2,0,0,0,0,0,0,0,0,0
213,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
215,1 win.,1,0,0,0,0,0,0,0,0,0
217,4 nominations.,0,4,0,0,0,0,0,0,0,0
221,4 wins.,4,0,0,0,0,0,0,0,0,0
222,1 win.,1,0,0,0,0,0,0,0,0,0
226,15 nominations.,0,15,0,0,0,0,0,0,0,0
230,2 wins.,2,0,0,0,0,0,0,0,0,0
240,2 wins.,2,0,0,0,0,0,0,0,0,0
244,1 nomination.,0,1,0,0,0,0,0,0,0,0
256,1 nomination.,0,1,0,0,0,0,0,0,0,0
288,7 wins & 7 nominations.,7,7,0,0,0,0,0,0,0,0
291,1 nomination.,0,1,0,0,0,0,0,0,0,0
326,1 win.,1,0,0,0,0,0,0,0,0,0
345,1 nomination.,0,1,0,0,0,0,0,0,0,0
356,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
365,1 nomination.,0,1,0,0,0,0,0,0,0,0
374,1 win.,1,0,0,0,0,0,0,0,0,0
402,2 wins.,2,0,0,0,0,0,0,0,0,0
410,4 wins & 9 nominations.,4,9,0,0,0,0,0,0,0,0
449,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
515,1 win.,1,0,0,0,0,0,0,0,0,0
545,Won 11 Oscars. Another 174 wins & 113 nominations.,185,113,11,0,0,0,0,0,0,0
547,4 wins & 11 nominations.,4,11,0,0,0,0,0,0,0,0
552,3 wins & 4 nominations.,3,4,0,0,0,0,0,0,0,0
553,1 win & 5 nominations.,1,5,0,0,0,0,0,0,0,0
556,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
560,1 nomination.,0,1,0,0,0,0,0,0,0,0
561,Won 1 Oscar. Another 11 wins & 14 nominations.,12,14,1,0,0,0,0,0,0,0
563,Won 3 Primetime Emmys. Another 44 nominations.,3,44,0,0,3,0,0,0,0,0
564,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
567,2 nominations.,0,2,0,0,0,0,0,0,0,0
568,1 win.,1,0,0,0,0,0,0,0,0,0
571,Nominated for 7 Oscars. Another 6 wins & 36 nominations.,6,43,0,0,0,0,7,0,0,0
573,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
575,1 nomination.,0,1,0,0,0,0,0,0,0,0
576,1 nomination.,0,1,0,0,0,0,0,0,0,0
582,2 wins.,2,0,0,0,0,0,0,0,0,0
